# Ghidra LK patch file v1
# source_program=lk.bin
# baseline=/tmp/lk_g780f_original.bin
# target_hint=LK_G780F
# format: enabled|offset|old_hex|new_hex|function|instruction
# Set enabled to 0 or delete a row to skip it before running ApplyLkPatches.java.
1|0x00014908|2100|C102|cm_otp_write_rom_sec_boot_key|mov x1,#0x16
1|0x00014AA0|0120|8122|cm_otp_check_rom_sec_boot_key|mov x1,#0x114
1|0x00014BB4|4100|E102|cm_otp_write_use_rom_sec_boot_key|mov x1,#0x17
1|0x00014C60|2120|A122|cm_otp_read_use_rom_sec_boot_key|mov x1,#0x115
1|0x00015D50|F30300AA|130080D2|cm_otp_read_warranty|mov x19,#0x0
1|0x00015D64|820200F9E10302AA|9F0200F9010080D2|cm_otp_read_warranty|str xzr,[x20]; mov x1,#0x0
1|0x00083000|223407B9|3F3407B9|set_warranty_void_bit_reason|str wzr,[x1,#0x734]
1|0x000854D8|210C40F9|010080D2|initialize_efuse_data|mov x1,#0x0
1|0x0008629C|00|20|emc_get_fuse_status|mov w0,#0x1
1|0x000862A0|820000B5203840F9|1F2003D51F2003D5|emc_get_fuse_status|nop
1|0x000862A9|001FEBE0079F1A|2003D51F2003D5|emc_get_fuse_status|
1|0x00086D88|E0069837|37000014|post_check_kernel_integrity|b 0xe8086e64
1|0x00086E60|60F99F36|1F2003D5|post_check_kernel_integrity|nop
1|0x00086E68|E6120094|1F2003D5|post_check_kernel_integrity|nop
1|0x00086E6C|00F9FF34|1F2003D5|post_check_kernel_integrity|nop
1|0x00086E70|00E08152|E0FF9F52|post_check_kernel_integrity|mov w0,#0xffff
1|0x00087A08|FD7BB0A9E30400D0|000080D2C0035FD6|check_signature|mov x0,#0x0
1|0x00087B28|FD7BBBA9FD|000080D2C0|check_ext4_signature|mov x0,#0x0
1|0x00087B2E|0091|5FD6|check_ext4_signature|
1|0x00201E20|E1C21267625B1F00EEC6BD12AFA02966CF1FAE6618AD971EDEE1752D45DDA6BD|EFD3426BE2EB922AF17A5E7A61FC2BF50624ED4E4D9DD20B9B71546A2BCB9AC9||
