# Ghidra LK patch file v1
# source_program=lk.bin
# baseline=/tmp/lk_n986b_original.bin
# target_hint=LK_N986B
# format: profile|offset|old_hex|new_hex|function|instruction
# Use profile 1 for normal rows, or 0 to disable a row.
# Rows marked rollback are selected only by the --rollback-mode profile.
1|0x000148E0|2100|C102|cm_otp_write_rom_sec_boot_key|mov x1,#0x16
1|0x00014A78|0120|8122|cm_otp_check_rom_sec_boot_key|mov x1,#0x114
1|0x00014B8C|4100|E102|cm_otp_write_use_rom_sec_boot_key|mov x1,#0x17
1|0x00014C38|2120|A122|cm_otp_read_use_rom_sec_boot_key|mov x1,#0x115
rollback|0x00015BDC|820200F9|9F0200F9|cm_otp_read_test|str xzr,[x20]
1|0x00015D28|F30300AA|130080D2|cm_otp_read_warranty|mov x19,#0x0
1|0x00015D3C|820200F9E10302AA|9F0200F9010080D2|cm_otp_read_warranty|str xzr,[x20]; mov x1,#0x0
rollback|0x00039A2C|A0230791|E00313AA|load_and_verify_vbmeta|mov x0,x19
1|0x00083728|223407B9|3F3407B9|set_warranty_void_bit_reason|str wzr,[x1,#0x734]
rollback|0x00085BA8|600440F9|000080D2|initialize_efuse_data|mov x0,#0x0
1|0x00085C00|210C40F9|010080D2|initialize_efuse_data|mov x1,#0x0
rollback|0x000865A8|600800B4|1F2003D5|CheckKernelRP|nop
rollback|0x000865BC|A00300B4|1D000014|CheckKernelRP|b commercial_bit_not_set
1|0x000869C4|00|20|emc_get_fuse_status|mov w0,#0x1
1|0x000869C8|820000B5203840F9|1F2003D51F2003D5|emc_get_fuse_status|nop
1|0x000869D1|001FEBE0079F1A|2003D51F2003D5|emc_get_fuse_status|
1|0x000874B0|E0069837|37000014|post_check_kernel_integrity|b 0xe808758c
1|0x00087588|60F99F36|1F2003D5|post_check_kernel_integrity|nop
1|0x00087590|E6120094|1F2003D5|post_check_kernel_integrity|nop
1|0x00087594|00F9FF34|1F2003D5|post_check_kernel_integrity|nop
1|0x00087598|00E08152|E0FF9F52|post_check_kernel_integrity|mov w0,#0xffff
1|0x00088130|FD7BB0A9E30400F0|000080D2C0035FD6|check_signature|mov x0,#0x0
1|0x00088250|FD7BBBA9FD|000080D2C0|check_ext4_signature|mov x0,#0x0
1|0x00088256|0091|5FD6|check_ext4_signature|
1|0x00205E68|F04C3C160DBE4F9234FCB6EEBDEE01AE0B653475B093B6488C88069C014C8793|EFD3426BE2EB922AF17A5E7A61FC2BF50624ED4E4D9DD20B9B71546A2BCB9AC9||
